epoch,loss,mae,val_loss,val_mae
0,163.08218383789062,9.650639533996582,732.6156616210938,22.146970748901367
1,81.30386352539062,6.9101362228393555,678.3834228515625,20.991756439208984
2,52.20671844482422,5.488286972045898,385.3241271972656,14.641167640686035
3,36.8785285949707,4.676144599914551,140.58035278320312,8.771856307983398
4,30.20907211303711,4.209071636199951,101.80776977539062,7.5607380867004395
5,26.39175033569336,3.9142210483551025,74.45860290527344,6.428051471710205
6,24.08521842956543,3.752389430999756,78.63273620605469,6.650913715362549
7,21.058443069458008,3.4784185886383057,73.57390594482422,6.269582748413086
8,19.902013778686523,3.3883402347564697,70.8709716796875,6.182936191558838
9,17.592849731445312,3.1729750633239746,72.03086853027344,6.514370441436768
10,16.36289405822754,3.0752625465393066,79.0895004272461,6.899188041687012
11,15.660308837890625,3.0111145973205566,98.25159454345703,7.334685325622559
12,14.778929710388184,2.9178876876831055,62.98409652709961,5.805414199829102
13,13.775668144226074,2.823932409286499,68.24905395507812,6.16879940032959
14,13.164196014404297,2.7639834880828857,63.39316940307617,5.881982803344727
